"geographicAreaM49","measuredItemCPC","measuredElement","timePointYears","Value","flagObservationStatus","flagMethod"
"428","02131","5315","2013",289,"","q"
"428","02140","5315","2012",462891,"","q"
"428","02140","5315","2013",461180,"","q"
"428","02151","5316","2012",15215,"","q"
"428","02151","5316","2013",16658,"","q"
"428","02191","5316","2012",32,"","q"
"428","02191","5316","2013",33,"","q"
"440","02111","5315","2012",175995,"","q"
"440","02111","5315","2013",162212,"","q"
"440","02122","5315","2012",26763,"","q"
"440","02122","5315","2013",29144,"","q"
"440","02123","5315","2012",14675,"","q"
"440","02123","5315","2013",14010,"","q"
"440","02131","5315","2012",1887,"","q"
"440","02131","5315","2013",1006,"","q"
"440","02140","5315","2012",954382,"","q"
"440","02140","5315","2013",1057834,"","q"
"440","02151","5316","2012",45611,"","q"
"440","02151","5316","2013",48753,"","q"
"440","02152","5316","2012",530,"","q"
"440","02152","5316","2013",543,"","q"
"440","02153","5316","2012",71,"","q"
"440","02153","5316","2013",20,"","q"
"440","02154","5316","2012",114,"","q"
"440","02154","5316","2013",32,"","q"
"440","02191","5316","2012",30,"","q"
"440","02191","5316","2013",30,"","q"
"442","02111","5315","2012",23973,"","q"
"442","02111","5315","2013",22680,"","q"
"442","02111","5315","2014",24015,"","q"
"442","02122","5315","2012",2610,"","q"
"442","02122","5315","2013",2583,"","q"
"442","02122","5315","2014",2527,"","q"
"442","02123","5315","2012",413,"","q"
"442","02123","5315","2013",234,"","q"
"442","02123","5315","2014",419,"","q"
"442","02131","5315","2012",57,"","q"
"442","02131","5315","2013",52,"","q"
"442","02131","5315","2014",15,"","q"
"442","02140","5315","2012",145838,"","q"
"442","02140","5315","2013",155021,"","q"
"442","02140","5315","2014",164155,"","q"
"442","02151","5316","2012",172.655,"","q"
"442","02151","5316","2013",175.066,"","q"
"470","02111","5315","2012",4083,"","q"
"470","02111","5315","2013",4076,"","q"
"470","02140","5315","2012",68688,"","q"
"470","02140","5315","2013",71230,"","q"
"470","02151","5316","2012",2562,"","q"
"470","02151","5316","2013",2353,"","q"
"480","02111","5315","2012",10411,"","q"
"480","02111","5315","2013",9768,"","q"
"480","02111","5315","2014",8953,"","q"
"480","02123","5315","2012",8800,"","q"
"480","02123","5315","2013",8352,"","q"
"480","02123","5315","2014",7901,"","q"
"480","02140","5315","2012",12754,"","q"
"480","02140","5315","2013",12144,"","q"
"480","02140","5315","2014",11302,"","q"
"484","02111","5315","2012",8917450,"","q"
"484","02111","5315","2013",8796391,"","q"
"484","02122","5315","2012",2926302,"","q"
"484","02122","5315","2013",2915534,"","q"
"484","02123","5315","2012",2383778,"","q"
"484","02123","5315","2013",2262579,"","q"
"484","02140","5315","2012",16138048,"","q"
"484","02140","5315","2013",16818454,"","q"
"484","02151","5316","2012",1601172,"","q"
"484","02151","5316","2013",1600988,"","q"
"554","02111","5315","2012",3858679,"","q"
"554","02111","5315","2013",2625522,"","q"
"554","02122","5315","2012",22938440,"","q"
"554","02122","5315","2013",23630958,"","q"
"554","02123","5315","2012",95648,"","q"
"554","02140","5315","2012",718788,"","q"
"554","02140","5315","2013",570334,"","q"
"554","02151","5316","2012",92761.4,"","q"
"554","02151","5316","2013",94358.76,"","q"
"566","02151","5316","2012",155505,"","q"
"578","02111","5315","2012",294032,"","q"
"578","02111","5315","2013",312331,"","q"
"578","02122","5315","2012",1133891,"","q"
"578","02122","5315","2013",1174920,"","q"
"578","02123","5315","2012",20771,"","q"
"578","02123","5315","2013",23630,"","q"
"578","02131","5315","2012",1355,"","q"
"578","02140","5315","2012",1599697,"","q"
"578","02151","5316","2012",64566,"","q"
"578","02151","5316","2013",72684,"","q"
"578","02152","5316","2012",1262,"","q"
"578","02154","5316","2012",90,"","q"
"591","02111","5315","2012",422475,"","q"
"591","02111","5315","2013",391230,"","q"
"591","02140","5315","2012",464867,"","q"
"591","02140","5315","2013",463369,"","q"
